"","QCFlags","ID","FlagType","FlagDefinition","AnalysisInterpretation","Notes","DRR_FlagsDefined"
"1","NCD",NA,NA,NA,NA,NA,NA
"2","ODEU",NA,NA,NA,NA,NA,NA
"3","LCAC",NA,NA,NA,NA,NA,NA
"4","OUC",NA,NA,NA,NA,NA,NA
"5","ODEC",NA,NA,NA,NA,NA,NA
"6","ONBLE",NA,NA,NA,NA,NA,NA
"7","ONBM",NA,NA,NA,NA,NA,NA
"8","SNBO",NA,NA,NA,NA,NA,NA
"9","LEOT",NA,NA,NA,NA,NA,NA
"10","LCSBC",NA,NA,NA,NA,NA,NA
"11","RICNC",NA,NA,NA,NA,NA,NA
