"unitCode","unitName","SNPLBandIDInt","SNPLDataID","eventID","locationID","siteID","siteName","startYear","startDate","nestID","QCFlag","QCNotes","scientificName","commonName","TSN","leftLegCode","leftLegDesc","rightLeg","rightLegDesc","SNPLSex","SNPLAge","bandNotes","type","basisOfRecord"
"PORE","Point Reyes National Seashore",565,"20151001085930-760723590.85083","{AEEEDFD6-D502-4AB5-829F-5CB514B31F9B}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-03-12,,,,"Charadrius nivosus","Western Snowy Plover","824030","r/b",,"y","Yellow","Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",587,"20151001140841-179089307.785034","20151001140601-339806079.864502","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-08,"RA01_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ga",,"gg",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",600,"20151001153759-281503438.949585","20151001152406-494376718.997955","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-15,,,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",601,"20151001154042-909204125.404358","20151001152406-494376718.997955","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-15,,,,"Charadrius nivosus","Western Snowy Plover","824030",,,"s","Silver","Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",610,"20151002101123-919377088.546753","20151002100928-785212218.761444","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-22,"RA05_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",615,"20151002105259-783995270.729065","{9CFBF441-F385-4ECB-AB93-B12295F5D864}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-25,,,,"Charadrius nivosus","Western Snowy Plover","824030","aw",,"y?",,"Female",,"couldn't read bottom right","Event","HumanObservation"
"PORE","Point Reyes National Seashore",614,"20151002105259-783995270.729065","{9CFBF441-F385-4ECB-AB93-B12295F5D864}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-25,,,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",618,"20151002110637-454207837.581635","{2F4D6AE0-06C6-48C4-A71D-FA2DF43AF129}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-26,"RA05_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",637,"20151002145114-61522245.4071045","{3473E69D-F5AD-4FFF-BAEC-CA1483906179}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-30,"RA03_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","ar",,,,"chicks banded","Event","HumanObservation"
"PORE","Point Reyes National Seashore",636,"20151002145114-61522245.4071045","{3473E69D-F5AD-4FFF-BAEC-CA1483906179}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-30,"RA03_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","b/r/b",,"y","Yellow","Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",635,"20151002144754-956762433.052063","{3473E69D-F5AD-4FFF-BAEC-CA1483906179}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-04-30,,,,"Charadrius nivosus","Western Snowy Plover","824030","ao",,"by",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",639,"20151004092829-14017641.544342","{530E9974-FC82-4FA3-A85A-EA1759053AE7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-01,,,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",638,"20151004092751-774740099.906921","{530E9974-FC82-4FA3-A85A-EA1759053AE7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-01,"RA02_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ly",,"yo",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",640,"20151004092846-760723590.85083","{530E9974-FC82-4FA3-A85A-EA1759053AE7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-01,"RA03_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","b/r/b",,"y","Yellow","Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",641,"20151004092846-760723590.85083","{530E9974-FC82-4FA3-A85A-EA1759053AE7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-01,"RA03_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","ar",,,,"chicks","Event","HumanObservation"
"PORE","Point Reyes National Seashore",642,"20151004094244-56236863.1362915","{1DF9CDC2-6AB0-4B98-9316-ACCF5A141FA6}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-02,"RA01_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ga",,"gg",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",643,"20151004095032-53504526.6151428","{07790642-30B5-4A7A-BC69-2FC4B8518D7D}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-03,"RA01_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","aw",,,,"H black dot on left aqua","Event","HumanObservation"
"PORE","Point Reyes National Seashore",1170,"20151004095032-53504526.6151428","{07790642-30B5-4A7A-BC69-2FC4B8518D7D}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-03,"RA01_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","aw",,,,"H black dot on right white","Event","HumanObservation"
"PORE","Point Reyes National Seashore",1169,"20151004095032-53504526.6151428","{07790642-30B5-4A7A-BC69-2FC4B8518D7D}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-03,"RA01_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","aw",,,,"H black dot on left violet","Event","HumanObservation"
"PORE","Point Reyes National Seashore",653,"20151004114221-753688097.000122","{AAF63FF1-25E8-40AD-B42D-8D66AE117493}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-13,,,,"Charadrius nivosus","Western Snowy Plover","824030","s","Silver","y","Yellow","Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",666,"20151004145008-543177008.628845","{FDF4C4E6-E64E-408C-A24D-BC97CBC9FD1B}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-17,,,,"Charadrius nivosus","Western Snowy Plover","824030","ao",,"by",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",683,"20151005093338-705547511.577606","{564A1D51-6B21-43C1-A764-F6030C026890}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-23,"RA05_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",685,"20151005093750-533424019.813538","{564A1D51-6B21-43C1-A764-F6030C026890}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-23,"RA05_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",684,"20151005093750-533424019.813538","{564A1D51-6B21-43C1-A764-F6030C026890}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-23,"RA05_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ly",,"yo",,"Male",,"not associated with RA05_2015","Event","HumanObservation"
"PORE","Point Reyes National Seashore",688,"20151005105627-80714643.0015564","{39997B64-83B1-4732-A6C7-200C15EBDCDD}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-28,"RA06_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","yg",,,,"H black dot on Left aqua","Event","HumanObservation"
"PORE","Point Reyes National Seashore",689,"20151005105627-80714643.0015564","{39997B64-83B1-4732-A6C7-200C15EBDCDD}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-28,"RA06_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","yg",,,,"H: black dot on Right yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",687,"20151005105627-80714643.0015564","{39997B64-83B1-4732-A6C7-200C15EBDCDD}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-28,"RA06_2015",,,"Charadrius nivosus","Western Snowy Plover","824030",,,"s","Silver","Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",694,"20151005111451-919377088.546753","{7D6208DA-3F53-4C24-8285-4EB78381B71A}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-29,"RA04_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","og",,,,"H black dot on Left violet","Event","HumanObservation"
"PORE","Point Reyes National Seashore",693,"20151005111451-919377088.546753","{7D6208DA-3F53-4C24-8285-4EB78381B71A}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-05-29,"RA04_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","og",,,,"H black dot on Left aqua","Event","HumanObservation"
"PORE","Point Reyes National Seashore",703,"20151005150210-542941153.049469","20151005145857-331016898.155212","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-08,"RA12_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ao",,"by",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",710,"20151005160355-427533328.533173","{9B2FDD41-8520-46DA-89DF-A7C81D0CDBDA}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-11,"RA11_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","br",,,,"H black dot on Left violet","Event","HumanObservation"
"PORE","Point Reyes National Seashore",709,"20151005160355-427533328.533173","{9B2FDD41-8520-46DA-89DF-A7C81D0CDBDA}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-11,"RA11_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","br",,,,"H black dot on Left aqua","Event","HumanObservation"
"PORE","Point Reyes National Seashore",714,"20151005163540-61522245.4071045","20151005163342-807779788.970947","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-12,"RA11_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","br",,,,"chick no black dot seen","Event","HumanObservation"
"PORE","Point Reyes National Seashore",713,"20151005163540-61522245.4071045","20151005163342-807779788.970947","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-12,"RA11_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","br",,,,"chick no black dot seen","Event","HumanObservation"
"PORE","Point Reyes National Seashore",722,"20151005172916-77684700.4890442","{40967CAE-15D7-4059-B9ED-B707CC61576A}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-13,"RA12_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ao",,"by",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",721,"20151005172826-185402512.550354","{40967CAE-15D7-4059-B9ED-B707CC61576A}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-13,"RA10_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","w/o/w",,"v","Violet","Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",733,"20151006094909-502453923.225403","{C8A7F120-FE01-46A1-9136-8600048060FE}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-17,,,,"Charadrius nivosus","Western Snowy Plover","824030","ly",,"yo",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",773,"20151006160722-161743700.504303","{4C8990B0-BD06-4770-A835-E89B21241CC0}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-06-29,"RA14_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","s","Silver","y","Yellow","Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",1176,"20151007111859-390471458.435059","{333E9820-8D17-4935-97AC-2230296B03C7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-06,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030",,,"s","Silver","Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",800,"20151007145707-589163005.35202","{E1C66053-C2B3-4A74-82B6-43078DCF7974}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-08,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030",,,"s","Silver","Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",833,"20151009133050-543177008.628845","{33DCE5F5-4AE1-4C01-BB93-25993865828A}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-17,"RA14_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","s","Silver","y","Yellow","Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",848,"20151009145902-804267168.045044","{C5087371-38B6-483E-931F-964744ECB012}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-21,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030",,,"s","Silver","Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",862,"20151009160151-330300807.952881","{BDA1116D-7D79-434F-A96A-F063F2D9E490}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-23,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030",,,"s","Silver","Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",866,"20151009162152-598856389.522552","{3BE4BE34-1F29-4D93-819F-D0068FD018F7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-24,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","aw",,,,"H black dot on Left aqua and right aqua","Event","HumanObservation"
"PORE","Point Reyes National Seashore",865,"20151009162152-598856389.522552","{3BE4BE34-1F29-4D93-819F-D0068FD018F7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-24,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","ar",,,,"H black dot on Left aqua and right aqua","Event","HumanObservation"
"PORE","Point Reyes National Seashore",864,"20151009162152-598856389.522552","{3BE4BE34-1F29-4D93-819F-D0068FD018F7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-24,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","ly",,"yo",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",867,"20151009162152-598856389.522552","{3BE4BE34-1F29-4D93-819F-D0068FD018F7}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-24,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","yg",,,,"H black dot on left aqua and right yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",881,"20151010151607-712730467.319489","{533CF555-8448-413C-864B-6F8EB061D261}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-27,"RA16_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","yy",,,,"H black dot on Left aqua and right bottom yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",885,"20151010152111-186013519.763947","{533CF555-8448-413C-864B-6F8EB061D261}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-27,,,,"Charadrius nivosus","Western Snowy Plover","824030","gg",,"rg",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",884,"20151010151839-326206207.275391","{533CF555-8448-413C-864B-6F8EB061D261}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-27,,,,"Charadrius nivosus","Western Snowy Plover","824030","gg",,"rg",,"Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",883,"20151010151607-712730467.319489","{533CF555-8448-413C-864B-6F8EB061D261}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-27,"RA16_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","yy",,,,"H black dot on right top and bottom yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",882,"20151010151607-712730467.319489","{533CF555-8448-413C-864B-6F8EB061D261}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-27,"RA16_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","av","Aqua/Violet","yy",,,,"H black dot on Left violet and rigth bottom yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",888,"20151010153611-785212218.761444","{3AA6E2B1-1645-405D-8DBE-40BB8CCDA3EB}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-28,"RA16_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","??",,"y","Yellow",,,"H only saw yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",890,"20151010153611-785212218.761444","{3AA6E2B1-1645-405D-8DBE-40BB8CCDA3EB}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-28,"RA16_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","??",,"y","Yellow",,,"H only saw yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",889,"20151010153611-785212218.761444","{3AA6E2B1-1645-405D-8DBE-40BB8CCDA3EB}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-07-28,"RA16_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","??",,"y","Yellow",,,"H only saw yellow","Event","HumanObservation"
"PORE","Point Reyes National Seashore",977,"20151011154737-620209574.699402","20151011154647-923445165.157318","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-08-05,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","??",,"??",,,,"H appeared banded but could not read","Event","HumanObservation"
"PORE","Point Reyes National Seashore",1002,"20151011171452-202618300.914764","{57E2C392-1005-4345-859A-1F6818C12044}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-08-08,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030",,,"s","Silver","Female",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",1004,"20151011171759-61522245.4071045","{F8EEDAE8-B142-46B0-AFE9-5E1551B022CC}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2015,2015-08-09,"RA15_2015",,,"Charadrius nivosus","Western Snowy Plover","824030","??",,"??",,,,"H banded but couldn't read","Event","HumanObservation"
