attributeName	code	definition
basisOfRecord	HumanObservation	Observation made by a human
eventDetailsQCFlag	DFO	Data field omission
eventDetailsQCFlag	DFO;LEPST	Data field omission; Logical Error Predator Stop Time is more than the total survey time
eventDetailsQCFlag	DFO;LEPST;NSPLE	"Data field omission; Logical Error Predator Stop Time is more than the total survey time; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk)"
eventDetailsQCFlag	DFO;LESPB	Data field omission; Logical Error Snowy Plover Banded more than Total Snowy Plover
eventDetailsQCFlag	DFO;NSBPLE	Data field omission; Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey.
eventDetailsQCFlag	DFO;NSBPLE;ESBNA	Data field omission; Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Event Summary Banded Number Not in Agreement with number of records for event in tbl_SNPL_Banded
eventDetailsQCFlag	DFO;NSPLE	"Data field omission; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk)"
eventDetailsQCFlag	DFO;NSPLE;NSBPLE	"Data field omission; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey."
eventDetailsQCFlag	DFO;NSPLE;NSBPLE;ESBNA	"Data field omission; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Event Summary Banded Number Not in Agreement with number of records for event in tbl_SNPL_Banded"
eventDetailsQCFlag	DFO;NSPLE;NSBPLE;ESBNA;LESPC	"Data field omission; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Event Summary Banded Number Not in Agreement with number of records for event in tbl_SNPL_Banded; Logical Error Snowy Plover Checked more than Total Snowy Plover"
eventDetailsQCFlag	DFO;NSPLE;NSBPLE;LESPC	"Data field omission; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Logical Error Snowy Plover Checked more than Total Snowy Plover"
eventDetailsQCFlag	ESBNA;DFO	Event Summary Banded Number Not in Agreement with number of records for event in tbl_SNPL_Banded; Data field omission
eventDetailsQCFlag	LEPST;DFO	Logical Error Predator Stop Time is more than the total survey time; Data field omission
eventDetailsQCFlag	LESPB;NSBPLE	Logical Error Snowy Plover Banded more than Total Snowy Plover; Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey.
eventDetailsQCFlag	LESPC	Logical Error Snowy Plover Checked more than Total Snowy Plover
eventDetailsQCFlag	LESPC;NSPLE;NSBPLE	"Logical Error Snowy Plover Checked more than Total Snowy Plover; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey."
eventDetailsQCFlag	NSBPLE	Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey.
eventDetailsQCFlag	NSBPLE;ESBNA	Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Event Summary Banded Number Not in Agreement with number of records for event in tbl_SNPL_Banded
