attributeName	code	definition
eventDetailsQCFlag	NSPLE;NSBPLE	"Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey."
eventDetailsQCFlag	NSPLE;NSBPLE;ESBNA	"Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Event Summary Banded Number Not in Agreement with number of records for event in tbl_SNPL_Banded"
eventDetailsQCFlag	NSPLE;NSBPLE;LESPC	"Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Logical Error Snowy Plover Checked more than Total Snowy Plover"
eventDetailsQCFlag	ODEC	Original data entry value corrected during data review
eventDetailsQCFlag	ODEC;DFO	Original data entry value corrected during data review; data field omission
eventDetailsQCFlag	ODEC;NSBPLE	Original data entry value corrected during data review; Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey
eventDetailsQCFlag	ODEC;NSPLE;NSBPLE	"Original data entry value corrected during data review; Number of Summarized Snowy Plovers Logical Error. Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey"
eventDetailsQCFlag	ODEC;NSPLE;NSBPLE;ESBNA	"Original data entry value corrected during data review; Number of Summarized Snowy Plovers Logical Error.  Summarized number of adults, hatchlings, or fledglings SNPL does not match the observed sum of adult (Male+Female+Unk); Number of Summarized Banded Snowy Plovers Logical Error. Summarized number of Bands Snowy Plovers is not the same as the tally of Banded observation records for the survey; Event Summary Banded Number Not in Agreement with number of records for event in tbl_SNPL_Banded"
eventDetailsQCFlag	ODEU	Original data entry value updated
eventQCFlag	NCD	No Crew Defined
incompleteSurvey	Yes	Survey was incomplete
localTimeZone	PDT	Pacific Daylight Time
localTimeZone	PST	Pacific Standard Time
siteID	DB	Drakes Beach
siteID	K	Kehoe Beach
siteID	L	Limantour Beach
siteID	NB	North Beach - South Parking
siteID	NP	North Beach - Abbott's
siteID	RA	2011 Dune Restoration Area
siteID	SB	South Beach
surveyDirection	Combo	"Survey direction is a combination of ""N to S"" and ""S to N"""
surveyDirection	N to S	Survey progresses from the north to the south side of the survey area
surveyDirection	S to N	Survey progresses from the south to the north side of the survey area
tideCondition	Fall	"Water level is decreasing, tidal current moving seaward"
tideCondition	"Fall, Hi-Slack, Rise"	"Water level is decreasing, High tide, minimal tidal current, Water level increasing, tidal current moving landward"
tideCondition	"Fall, Lo-Slack"	"Water level is decreasing, tidal current moving seaward; Low tide, minimal tidal current"
tideCondition	"Fall, Lo-Slack, Rise"	"Water level is decreasing, tidal current moving seaward; Low tide, minimal tidal current; Water level increasing, tidal current moving landward"
tideCondition	Hi-Slack	"High tide, minimal tidal current"
tideCondition	"Hi-Slack, Fall"	"High tide, minimal tidal current; Water level is decreasing, tidal current moving seaward"
tideCondition	"Hi-Slack, Fall, Lo-Slack"	"High tide, minimal tidal current; Water level is decreasing, tidal current moving seaward; Low tide, minimal tidal current"
tideCondition	"Hi-Slack, Fall, Lo-Slack, Rise"	"High tide, minimal tidal current; Water level is decreasing; Low tide, minimal tidal current;  Water level increasing, tidal current moving landward"
tideCondition	"Hi-Slack, Fall, Rise"	"High tide, minimal tidal current; Water level is decreasing, tidal current moving seaward; Water level increasing, tidal current moving landward"
tideCondition	"Hi-Slack, Lo-Slack"	"High tide, minimal tidal current;  Low tide, minimal tidal current"
tideCondition	"Hi-Slack, Lo-Slack, Rise"	"High tide, minimal tidal current;  Low tide, minimal tidal current;  Water level increasing, tidal current moving landward"
tideCondition	"Hi-Slack, Rise"	"High tide, minimal tidal current; Water level increasing, tidal current moving landward"
tideCondition	Lo-Slack	"Low tide, minimal tidal current"
tideCondition	"Lo-Slack, Fall"	"Low tide, minimal tidal current; Water level is decreasing, tidal current moving seaward"
tideCondition	"Lo-Slack, Fall, Rise"	"Low tide, minimal tidal current;  Water level is decreasing, tidal current moving seaward; Water level increasing, tidal current moving landward"
tideCondition	"Lo-Slack, Rise"	"Low tide, minimal tidal current; Water level increasing, tidal current moving landward"
tideCondition	Rise	"Water level increasing, tidal current moving landward"
type	event	"A non-persistent, time-based occurrence"
unitCode	PORE	Point Reyes National Seashore
windDirection	E	East
windDirection	N	North
windDirection	NE	Northeast
windDirection	NW	Northwest
windDirection	S	South
windDirection	SE	Southeast
windDirection	SW	Southwest
windDirection	W	West
